['Polyoxymethyleneurea'],1
"['Squamous', 'cell', 'neoplasms', 'situ']",1
"['Other', 'specified', 'injury', 'periodontal', 'tissues']",1
"['Other', 'specified', 'polyp', 'middle', 'ear']",1
"['Venezuelan', 'equine', 'encephalitis']",1
"['Other', 'specified', 'psychoactive', 'substance', 'dependence', 'current', 'use']",1
"['Lesser', 'palatine', 'artery']",1
"['Angiosarcoma', 'heart']",1
"['tragedy', 'presumes', 'configuration']",0
"['Duplications', 'chromosome', 'unspecified']",1
"['Indian', 'hemp']",1
"['Adenocarcinoma', 'adenomatous', 'polyp']",1
"['Other', 'carbapenem', 'resistant', 'Enterobacterales']",1
"['Lobulated', 'kidney']",1
['Agency'],0
"['Other', 'specified', 'chronic', 'arterial', 'occlusive', 'disease']",1
"['Paediatric', 'onset', 'Sjögren', 'syndrome']",1
"['Varicella', 'zoster', 'virus', 'infections']",1
['ambitious'],0
"['Dimethyl', 'sulfoxide']",1
['Hypophosphaturia'],1
"['Withdrawal', 'symptoms', 'therapeutic', 'use', 'drugs', 'newborn']",1
"['Presence', 'psychosocial', 'factors', 'Scale', 'Value']",1
"['Tentorium', 'cerebelli']",1
"['Panel', 'component', 'medical', 'device']",1
"['Foot', 'dampness', 'itch', 'disorder']",1
['rather'],0
"['Loosening', 'implant', 'related']",1
['Demephion'],1
"['oh', 'known', 'quite']",0
['dialysis'],0
['She'],0
['except'],0
"['Genetic', 'bone', 'diseases', 'decreased', 'bone', 'density']",1
['resumed'],0
"['Other', 'specified', 'cutaneous', 'capillary', 'vascular', 'malformation']",1
"['Iodochlorhydroxyquin', 'topical']",1
"['Patterns', 'visual', 'field', 'impairment', 'unspecified']",1
"['Muscle', 'affecting', 'agents', 'oxytocic']",1
"['Osseous', 'chondromatous', 'neoplasms', 'benign']",1
"['Suction', 'failure']",1
"['welch', 'wanted', 'know']",0
"['Fracture', 'ilium', 'without', 'disruption', 'pelvic', 'ring']",1
['She'],0
"['Group', 'F', 'Streptococcus']",1
"['Special', 'screening', 'diseases', 'disorders', 'elsewhere', 'classified']",1
"['Acinetobacter', 'nosocomialis']",1
"['Quintuplets', 'stillborn']",1
['Streptonivicin'],1
['one'],0
['flogged'],0
['Alfentanil'],1
"['Burn', 'trunk', 'except', 'perineum', 'genitalia', 'superficial', 'partial', 'thickness', 'burn']",1
